Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2020-12-12T02:42:13+00:00,,,51.513377,-0.096363,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Caution (simple or conditional),TRUE,FALSE
Person search,2020-12-12T02:59:28+00:00,,,51.513377,-0.096363,Female,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-12T06:33:51+00:00,,,,,Male,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-12-12T06:38:49+00:00,,,,,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-12T06:40:05+00:00,,,51.514276,-0.087549,Male,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-12T06:42:35+00:00,,,51.514276,-0.087549,Male,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-12T08:44:06+00:00,,,,,Male,25-34,White - Irish,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,TRUE,FALSE
Person and Vehicle search,2020-12-12T09:31:26+00:00,,,,,Male,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-12T09:57:19+00:00,,,51.512181,-0.077649,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,FALSE,FALSE
Person search,2020-12-12T10:22:03+00:00,,,51.516047,-0.075411,Male,17-Oct,Asian/Asian British - Bangladeshi,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,FALSE,FALSE
Person search,2020-12-12T11:10:20+00:00,,,51.517032,-0.089451,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person search,2020-12-12T12:23:52+00:00,,,51.517244,-0.080376,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,FALSE,FALSE
Person search,2020-12-13T01:48:13+00:00,,,51.516508,-0.079398,Male,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
